district;businessName;reviewCount;primaryType;matchedTerms;phone;formattedAddress;googleMapsUri;businessStatus;googlePlaceId;fetchedAt
11. Simmering;Esref Time Friseur Deluxe;64;hair_salon;beauty salon;0664 1411418;"Simmeringer Hauptstraße 97, 1110 Wien";https://maps.google.com/?cid=1924827796097212918&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJp3erfACpbUcR9iEssK5ctho;2026-05-21T13:25:21.155210Z
11. Simmering;LN-Cosmetic;47;nail_salon;beauty salon;0699 10033535;"Unter der Kirche 13, 1110 Wien";https://maps.google.com/?cid=4586978964861594831&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJu7kHWfipbUcRz6zD0BA5qD8;2026-05-21T13:25:21.155221Z
11. Simmering;Stria Friseur - Fußpflege und Kosmetik Salon;38;hair_salon;beauty salon;01 7492389;"Simmeringer Hauptstraße 26, 1110 Wien";https://maps.google.com/?cid=4759539610272204391&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ2UQdKf2pbUcRZwat9A5IDUI;2026-05-21T13:25:21.155228Z
11. Simmering;Beauty Galaxy Outer Limits;29;beauty_salon;beauty salon;01 7672731;"Etrichstraße 42, 1110 Wien";https://maps.google.com/?cid=5865379850011768210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJuTeL0_WqbUcRknWvwOUDZlE;2026-05-21T13:25:21.155234Z
11. Simmering;Salon Nowela;21;foot_care;beauty salon;0660 8809222;"Sedlitzkygasse 40, 1110 Wien";https://maps.google.com/?cid=15272868242156226701&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJb5o9HfipbUcRjQgRQ78g9NM;2026-05-21T13:25:21.155244Z
11. Simmering;La Vienna Beauty Lounge;20;beauty_salon;beauty salon;;"Simmeringer Hauptstraße 37/1C, 1110 Wien";https://maps.google.com/?cid=5981179566161721318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ4SA39vypbUcR5vfkMiBrAVM;2026-05-21T13:25:21.155266Z
11. Simmering;Kleingartenverein Kaiserebersdorf;7;corporate_office;erholungszentrum;0699 17222891;"Klg bei Den Awaren, 1110 Wien";https://maps.google.com/?cid=4208757983134511438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJZSKbxIiqbUcRTnFSMhaDaDo;2026-05-21T13:25:21.155273Z
11. Simmering;Gesundheits- und Sozialzentrum für den 3. und 11. Bezirk;1;medical_clinic;gesundheitszentrum;01 7403411800;"Simmeringer Hauptstraße 100, 1110 Wien";https://maps.google.com/?cid=6342704314600534034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJRxyktQKqbUcREjAaE_jPBVg;2026-05-21T13:25:21.155301Z
11. Simmering;Manhattan Sportanlagen BetriebsgmbH & Co KG;1;gym;fitness studio;01 36873110;"Wildpretstraße 11, 1110 Wien";https://maps.google.com/?cid=9693038140407827824&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJg6KhYHWqbUcRcE1SMdWWhIY;2026-05-21T13:25:21.155287Z
12. Meidling;Hira Beauty Salon;120;beauty_salon;beauty salon;0660 5484678;"Um die Ecke, Meidlinger Hauptstraße 5/8, 1120 Wien";https://maps.google.com/?cid=2257147310505263449&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ4WfPLcOpbUcRWQFlIIX_Uh8;2026-05-21T13:25:21.155004Z
12. Meidling;Jamile's Hair Beauty Salon;98;hair_salon;beauty salon;0699 10113948;"Längenfeldgasse 8, 1120 Wien";https://maps.google.com/?cid=11804004443635983860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJt_2byZqpbUcR9CUOToA_0KM;2026-05-21T13:25:21.155017Z
12. Meidling;Mini Ladies Spa Wien;77;beauty_salon;"spa, day spa";0699 10078377;"Hainbuchenweg 3, 1120 Wien";https://maps.google.com/?cid=9729795159899880804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJnxNMUgCpbUcRZL0lsyUtB4c;2026-05-21T13:25:21.155040Z
12. Meidling;Sabina Pudarevic;67;nail_salon;beauty salon;01 8150204;"Hufelandgasse 8, 1120 Wien";https://maps.google.com/?cid=6112837443236077860&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJu8g2zBaobUcRJCHLdUQp1VQ;2026-05-21T13:25:21.155047Z
12. Meidling;IF - Kosmetiksalon Frauendorfer Irene;47;beauty_salon;beauty salon;01 9958724;"Am Schöpfwerk 31/Stiege 5, 1120 Wien";https://maps.google.com/?cid=8826308262129742708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJnZVMIFyobUcRdLNWwplYfXo;2026-05-21T13:25:21.155053Z
12. Meidling;Kasernenpark;38;park;erholungszentrum;;1120 Wien;https://maps.google.com/?cid=4791665727586939048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJlXcc92qobUcRqLA7h5dqf0I;2026-05-21T13:25:21.155070Z
12. Meidling;K & M Massage und Wellnessfusspflege;23;massage_spa;"spa, massage, wellness center, day spa";01 8047171;"Kirchfeldgasse 30, 1120 Wien";https://maps.google.com/?cid=7487665093282910562&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ8TPqyGKobUcRYlE4IruH6Wc;2026-05-21T13:25:21.155098Z
12. Meidling;Lotus Beauty Lounge;22;beauty_salon;beauty salon;0676 6117435;"Aichholzgasse 57, 1120 Wien";https://maps.google.com/?cid=2634630126405062676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJQw7EMdSpbUcRFJDqHiQWkCQ;2026-05-21T13:25:21.155107Z
12. Meidling;SWK 1120;14;sports_activity_location;erholungszentrum;;1120 Wien;https://maps.google.com/?cid=17329963313318831453&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJAQBQL1mobUcRXaXrvNBlgPA;2026-05-21T13:25:21.155113Z
12. Meidling;Lili - Wellness;12;massage_spa;"spa, massage, wellness center, day spa";0681 10418818;"Ratschkygasse 22, 1120 Wien";https://maps.google.com/?cid=15876789998829984244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJDwvN4ySpbUcR9Fm8lWKwVdw;2026-05-21T13:25:21.155121Z
12. Meidling;Power Plate;11;gym;fitness studio;000;"Meidlinger Hauptstraße 51-53, 1120 Wien";https://maps.google.com/?cid=13710682228331707688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJMfJdbxWobUcRKP34J9ggRr4;2026-05-21T13:25:21.155143Z
12. Meidling;Gesundheitszentrum Süd;9;bus_stop;gesundheitszentrum;;"1120 Wien, Österreich";https://maps.google.com/?cid=5400611789319874783&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJrcag40iobUcR36gyCM_T8ko;2026-05-21T13:25:21.155152Z
12. Meidling;Gesundheitszentrum Hetzendorf;2;medical_center;gesundheitszentrum;01 8047030;"Hetzendorfer Str. 52-54, 1120 Wien";https://maps.google.com/?cid=14437166441780308188&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJk2qtuWWobUcR3GiBLWMeW8g;2026-05-21T13:25:21.155164Z
13. Hietzing;Outdoor-Fitness-Park Roter Berg;33;gym;fitness studio;;"Tolstojgasse, 1130 Wien";https://maps.google.com/?cid=6441203331498124732&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJDyKnYr-nbUcRvCUClE3AY1k;2026-05-21T13:25:21.154907Z
13. Hietzing;Lainzer Teich;29;fishing_pond;erholungszentrum;;"Hermesstraße, 1130 Wien";https://maps.google.com/?cid=8198603033344939344&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJvb2tjCmnbUcRUBX3UAVKx3E;2026-05-21T13:25:21.154926Z
13. Hietzing;Skin Lounge;15;beauty_salon;beauty salon;0699 12303601;"Auhofstraße 58, Ecke, Fleschgasse, 1130 Wien";https://maps.google.com/?cid=13151995720106178327&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ6TlCgbOnbUcRF_di2GxGhbY;2026-05-21T13:25:21.154943Z
13. Hietzing;Lina Beauty Lash Studio & Academy;12;beauty_salon;beauty salon;0660 4740735;"Gemeindeberggasse 16/5/1, 1130 Wien";https://maps.google.com/?cid=3964995549428660379&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJM-sZ2nGnbUcRmziz23F-Bjc;2026-05-21T13:25:21.154950Z
13. Hietzing;Blinden- und Sehbehindertenverband;2;association_or_organization;erholungszentrum;01 9827584201;"Hietzing, Hietzinger Kai 85/3.OG, 1130 Wien";https://maps.google.com/?cid=15175405219037209844&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJaSa7Se6nbUcR9GRS26TemdI;2026-05-21T13:25:21.154956Z
13. Hietzing;Praxis an der Wien - Hietzing;0;physiotherapist;massage;0699 19235969;"Eduard-Klein-Gasse 13/2, 1130 Wien";https://maps.google.com/?cid=9661675284590071586&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ-cqIn6CnbUcRIo8pSXsqFYY;2026-05-21T13:25:21.154972Z
13. Hietzing;"Villa mit privater Sauna und Jacuzzi, 8 Minuten vom Schloss Schönbrunn. - Three-Bedroom Villa";0;lodging;sauna;;"1230 Wien, Österreich";https://maps.google.com/?cid=3077700619677516998&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJT2FpuoeobUcRxsTgQGgwtio;2026-05-21T13:25:21.154987Z
14. Penzing;Steinhofwiese Schlittenfahrt;94;wildlife_refuge;erholungszentrum;;"Unnamed Road, 1140, 1140 Wien";https://maps.google.com/?cid=9395235020132847572&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJqXu4ji4IbUcR1A9UBHmUYoI;2026-05-21T13:25:21.154827Z
14. Penzing;Beauty Salon By Lejdis;42;beauty_salon;beauty salon;0660 6920642;"Penzinger Str. 41, 1140 Wien";https://maps.google.com/?cid=10175089442839584957&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJf7s-SP2nbUcRveBHNvAtNY0;2026-05-21T13:25:21.154838Z
14. Penzing;Activity Shape;3;fitness_center;fitness studio;01 4198721;"Linzer Str. 178, 1140 Wien";https://maps.google.com/?cid=15594522934804412089&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJBUua2vOnbUcRufayYvzfatg;2026-05-21T13:25:21.154855Z
14. Penzing;Body-Relax;2;massage_spa;"spa, wellness center, day spa";0681 20886506;"Johnstraße 5, 1140 Wien";https://maps.google.com/?cid=6980612220107936797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJNzwa66OpbUcRHdRITtQd4GA;2026-05-21T13:25:21.154867Z
14. Penzing;Massage;1;massage;massage;;"Linzer Str. 340, 1140 Wien";https://maps.google.com/?cid=16170239336700492642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJs2lkuzGnbUcRYrsUzQA7aOA;2026-05-21T13:25:21.154876Z
14. Penzing;Gesundheitszentrum Gerstnerstraße;1;point_of_interest;"gesundheitszentrum, erholungszentrum";01 4065715;"Gerstnerstraße 3, 1150 Wien";https://maps.google.com/?cid=8878282679693425654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJGzhMjPUHbUcR9juh2g7_NXs;2026-05-21T13:25:21.154886Z
14. Penzing;Massage by Dancs Wien;0;massage;massage;0664 75020211;"Gyrowetzgasse 2, 1140 Wien";https://maps.google.com/?cid=17053191834418494275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJr_nvAESpbUcRQzsbKZ8bqew;2026-05-21T13:25:21.154897Z
15. Rudolfsheim-Fünfhaus;MedSpine1150;102;medical_clinic;gesundheitszentrum;0667 7902200;"Märzstraße 1, 1150 Wien";https://maps.google.com/?cid=10607964682987661280&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ-aRDUwAHbUcR4Gde_6wPN5M;2026-05-21T13:25:21.154675Z
15. Rudolfsheim-Fünfhaus;Institut für Physikalische Medizin Wien-West;55;medical_clinic;gesundheitszentrum;01 9851508;"Märzstraße 28, 1150 Wien";https://maps.google.com/?cid=17532031344235347163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJwdNqWfcHbUcR23wpcJ5JTvM;2026-05-21T13:25:21.154682Z
15. Rudolfsheim-Fünfhaus;Renate Kosmetik;53;beauty_salon;beauty salon;01 9858622;"Benedikt-Schellinger-Gasse 19, 1150 Wien";https://maps.google.com/?cid=18252116457568972326&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJz8UoKPgHbUcRJq513DaLTP0;2026-05-21T13:25:21.154693Z
15. Rudolfsheim-Fünfhaus;Beauty Lounge Monika;30;beauty_salon;beauty salon;0699 10713335;"Mariahilfer Str. 203, 1150 Wien";https://maps.google.com/?cid=17048547256263077385&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJmbsTfhyobUcRCW4FCmebmOw;2026-05-21T13:25:21.154702Z
15. Rudolfsheim-Fünfhaus;Kosmetikinstitut MBeauty;18;beauty_salon;beauty salon;;"Hütteldorfer Str. 105, 1150 Wien";https://maps.google.com/?cid=15808075159609399565&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ10oGDrkJbUcRDdkxV5qQYds;2026-05-21T13:25:21.154715Z
15. Rudolfsheim-Fünfhaus;Niny Beauty;13;beautician;beauty salon;0667 7750806;"Huglgasse 11, 1150 Wien";https://maps.google.com/?cid=12387719428503862335&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJcTGNHTQHbUcRP3wt8S8F6qs;2026-05-21T13:25:21.154721Z
15. Rudolfsheim-Fünfhaus;Studio Natali Wien;6;massage;massage;0688 60876657;"Sechshauser Str. 19/C, 1150 Wien";https://maps.google.com/?cid=4795334910633810316&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJQw95_RiobUcRjJlbx7FzjEI;2026-05-21T13:25:21.154731Z
15. Rudolfsheim-Fünfhaus;Emeline Gaufreteau - Heilmassage & gewerbliche Massage;4;massage;massage;0681 81369244;"Jurekgasse 30B, 1150 Wien";https://maps.google.com/?cid=1622927553318999163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJX3VkhyupbUcRe9TF1wLMhRY;2026-05-21T13:25:21.154738Z
15. Rudolfsheim-Fünfhaus;Fleur Beauty Salon;4;beauty_salon;beauty salon;0699 11505550;"Hütteldorfer Str. 81, 1150 Wien";https://maps.google.com/?cid=3780588367530914023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ-6fCZFcHbUcR53CnABdZdzQ;2026-05-21T13:25:21.154768Z
15. Rudolfsheim-Fünfhaus;Élevé Studio;3;fitness_center;fitness studio;0681 81282718;"Neubaugürtel 29, 1150 Wien";https://maps.google.com/?cid=11131246916912013939&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ-V2BIuEHbUcRc-KzVRgiepo;2026-05-21T13:25:21.154789Z
15. Rudolfsheim-Fünfhaus;Calisthenics Park Henriettenplatz;1;gym;fitness studio;;"Henriettenpl. 4, 1150 Wien";https://maps.google.com/?cid=8805644269234579092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJWftfOoypbUcRlGYu_s7uM3o;2026-05-21T13:25:21.154797Z
15. Rudolfsheim-Fünfhaus;Studio jurekgasse;0;massage;massage;0688 64328317;"Jurekgasse 7, 1150 Wien";https://maps.google.com/?cid=7900124765347674976&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJa0oEucqpbUcRYHvQD57hom0;2026-05-21T13:25:21.154807Z
15. Rudolfsheim-Fünfhaus;"Hip Rudolfsheim-Fünfhaus 2BR w/ Sauna & Roof, nr U6, by Blueground";0;lodging;sauna;;"1150 Wien, Österreich";https://maps.google.com/?cid=16036947277858249722&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJq5sQHxyobUcR-pto8pSujt4;2026-05-21T13:25:21.154816Z
16. Ottakring;Monika Barta Cosmetics;96;beauty_salon;beauty salon;0681 81362269;"Haberlgasse 47/1-4, 1160 Wien";https://maps.google.com/?cid=16780269464500205642&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJCwdRFwAHbUcRSnjeGix-3-g;2026-05-21T13:25:21.154617Z
16. Ottakring;Beauty by Antonija & Crew;45;hair_salon;beauty salon;0660 3888415;"Thaliastraße 111, 1160 Wien";https://maps.google.com/?cid=8461446456613353066&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJKxEirsYJbUcRajZtvLgYbXU;2026-05-21T13:25:21.154626Z
16. Ottakring;Ebru Tankaz Beauty;28;beauty_salon;beauty salon;0660 5067856;"Thaliastraße 12, 1160 Wien";https://maps.google.com/?cid=17503613216842242828&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ99TcPR8HbUcRDNu2i3tT6fI;2026-05-21T13:25:21.154632Z
16. Ottakring;Magic Style;13;hair_salon;beauty salon;0681 10877502;"Ottakringer Str. 29/7a, 1160 Wien";https://maps.google.com/?cid=1975348631021861873&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ_6MVcrwHbUcR8bucMx3ZaRs;2026-05-21T13:25:21.154644Z
16. Ottakring;Gym BumBum;1;gym;fitness studio;;"Haymerlegasse 27, 1160 Wien";https://maps.google.com/?cid=6831498155518390546&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJ5ccmTNkHbUcREvFoq2Bbzl4;2026-05-21T13:25:21.154655Z
16. Ottakring;Gesundheitszentrum Ottakring;0;doctor;gesundheitszentrum;01 4920055;"Ottakringer Str. 151, 1160 Wien";https://maps.google.com/?cid=7145319297119063579&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJP1Msog4IbUcRG46GDwtGKWM;2026-05-21T13:25:21.154665Z
17. Hernals;LyLy Nails Nagelstudio;244;nail_salon;beauty salon;0660 6686999;"Ottakringer Str. 94, 1170 Wien";https://maps.google.com/?cid=8563711920705689917&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJM42ZHGsHbUcRPdlwkJ5q2HY;2026-05-21T13:25:21.154463Z
17. Hernals;Kasa Hair Beautysalon;88;hair_salon;beauty salon;0677 62471558;"Kalvarienberggasse 49, 1170 Wien";https://maps.google.com/?cid=16818459214131579294&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;OPERATIONAL;ChIJsbhg1UsHbUcRnkm1F4wrZ-k;2026-05-21T13:25:21.154472Z
